,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
108,Taxi Driver,1976,R,114,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",663344,8.3
109,The Sting,1973,NRC,129,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,226124,8.3
110,A Clockwork Orange,1971,R,136,"Crime, Drama, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",708845,8.3
111,2001: A Space Odyssey,1968,G,149,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",559406,8.3
112,Per qualche dollaro in più,1965,A,132,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,213641,8.3
113,To Kill a Mockingbird,1962,A,129,"Crime, Drama","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",278684,8.3
114,Lawrence of Arabia,1962,G,228,"Adventure, Biography, Drama","The story ofT.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",249467,8.3
115,The Apartment,1960,A,125,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",149334,8.3
116,North by Northwest,1959,G,136,"Adventure, Mystery, Thriller",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,279240,8.3
117,Vertigo,1958,SOA,128,"Mystery, Romance, Thriller",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,331645,8.3
118,Singin' in the Rain,1952,G,103,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.,203076,8.3
119,Ikiru,1952,PG,143,Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,60779,8.3
120,Bicycle Thieves,1948,G,89,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",132584,8.3
121,Double Indemnity,1944,A,107,"Crime, Drama, Film-Noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,132273,8.3
122,Citizen Kane,1941,G,119,"Drama, Mystery","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",372587,8.3
123,M - Eine Stadt sucht einen Mörder,1931,PG,117,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",132329,8.3
124,Metropolis,1927,G,153,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",148738,8.3
125,The Kid,1921,G,68,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",101969,8.3
126,K.G.F: Chapter 1,2018,N/A,156,"Comedy, Drama, Family","In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",27062,8.2
127,Green Book,2018,M,130,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,263714,8.2
128,Pink,2016,M,136,"Drama, Thriller","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",34070,8.2
129,Koe no katachi,2016,M,130,"Animation, Drama, Romance","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",30842,8.2
130,"Three Billboards Outside Ebbing, Missouri",2017,MA15+,115,"Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,369627,8.2
131,Talvar,2015,M,132,"Crime, Drama, Mystery",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,26745,8.2
132,Bahubali 2: The Conclusion,2017,MA15+,167,"Action, Drama","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",68309,8.2
133,Drishyam,2015,M,163,"Crime, Drama, Mystery","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",58586,8.2
134,Queen,2013,M,146,"Comedy, Drama",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,56529,8.2
