,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
493,Toy Story 2,1999,G,92,"Animation, Adventure, Comedy","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",491890,7.9
494,Boogie Nights,1997,R,155,Drama,The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,224426,7.9
495,Breaking the Waves,1996,R,159,Drama,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",58598,7.9
496,Once Were Warriors,1994,MA,102,"Crime, Drama",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,29903,7.9
497,True Romance,1993,R,119,"Crime, Drama, Romance","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",193126,7.9
498,Trois couleurs: Bleu,1993,M,98,"Drama, Music, Mystery",A woman struggles to find a way to live her life after the death of her husband and child.,80631,7.9
499,Ninja Scroll,1993,MA,94,"Animation, Action, Adventure",A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,32449,7.9
500,Carlito's Way,1993,MA,144,"Crime, Drama, Thriller","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",189115,7.9
501,Edward Scissorhands,1990,PG,105,"Drama, Fantasy, Romance","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",423222,7.9
502,My Left Foot,1989,M,103,"Biography, Drama","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",62669,7.9
503,Kiki's Delivery Service,1989,G,103,"Animation, Adventure, Drama","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",102973,7.9
504,Do the Right Thing,1989,R,120,"Comedy, Drama","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",77820,7.9
505,Crimes and Misdemeanors,1989,M,104,"Comedy, Drama",An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,51500,7.9
506,The Untouchables,1987,M,119,"Crime, Drama, Thriller","During the era of Prohibition in the United States, Federal AgentEliot Nesssets out to stop ruthless Chicago gangsterAl Capone, and because of rampant corruption, assembles a small, hand-picked team to help him.",261809,7.9
507,Hannah and Her Sisters,1986,M,107,"Comedy, Drama","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",63006,7.9
508,The Breakfast Club,1985,M,97,"Comedy, Drama",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,326187,7.9
509,Brazil,1985,M,132,"Drama, Sci-Fi","A bureaucrat, in a retro-future world, tries to correct an administrative error and becomes an enemy of the state.",178398,7.9
510,This Is Spinal Tap,1984,M,82,"Comedy, Music","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",122572,7.9
511,The Blues Brothers,1980,M,133,"Adventure, Comedy, Crime","Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",171276,7.9
512,Manhattan,1979,M,96,"Comedy, Drama, Romance",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,124153,7.9
513,All That Jazz,1979,M,123,"Drama, Music, Musical","Director/choreographerBob Fossetells his own life story as he details the sordid life of Joe Gideon, a womanizing, drug-using dancer.",25259,7.9
514,Days of Heaven,1978,M,94,"Drama, Romance",A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,47482,7.9
515,Dawn of the Dead,1978,RC,127,"Horror, Thriller","Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",105646,7.9
516,The Outlaw Josey Wales,1976,M,135,Western,Missouri farmer Josey Wales (Clint Eastwood) joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,61454,7.9
517,La montaña sagrada,1973,R,114,"Adventure, Drama, Fantasy","In a corrupt, greed-fueled world, a powerful alchemist leads a Christ-like character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",32865,7.9
518,Amarcord,1973,M,123,"Comedy, Drama",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,36401,7.9
519,Le charme discret de la bourgeoisie,1972,M,102,Comedy,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",34656,7.9
520,Harold and Maude,1971,M,91,"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",66848,7.9
521,Patton: A Salute to a Rebel,1970,A,172,"Biography, Drama, War","The World War II phase of the career of the controversial American general,George S. Patton.",89547,7.9
522,The Wild Bunch,1969,SOA,135,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",73562,7.9
523,Night of the Living Dead,1968,M,96,Horror,"A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States.",108321,7.9
524,The Lion in Winter,1968,A,134,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",27467,7.9
525,Charade,1963,A,113,"Comedy, Mystery, Romance",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,62063,7.9
526,The Manchurian Candidate,1962,A,126,"Drama, Thriller",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,68424,7.9
527,Spartacus,1960,G,197,"Adventure, Biography, Drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,116016,7.9
528,Breathless,1960,PG,90,"Crime, Drama","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",66567,7.9
529,Hiroshima mon amour,1959,PG,90,"Drama, Romance",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,25626,7.9
530,The Searchers,1956,G,119,"Adventure, Drama, Western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,74838,7.9
531,East of Eden,1955,PG,118,Drama,A wilful young man contends against his brother for the attention of their religious father while reconnecting with his estranged mother and falling for his brother's girlfriend.,37749,7.9
532,High Noon,1952,G,85,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",92212,7.9
533,Harvey,1950,G,104,"Comedy, Drama, Fantasy","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",50761,7.9
534,Miracle on 34th Street,1947,G,96,"Comedy, Drama, Family","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",37429,7.9
535,Notorious,1946,A,102,"Drama, Film-Noir, Romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,86844,7.9
536,The Big Sleep,1946,SOA,114,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",74975,7.9
537,The Lost Weekend,1945,PG,101,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,31299,7.9
538,To Have and Have Not,1944,A,100,"Adventure, Comedy, Film-Noir","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",28746,7.9
539,Shadow of a Doubt,1943,PG,108,Thriller,A young woman discovers her visiting uncle may not be the man he seems to be.,55221,7.9
540,The Philadelphia Story,1940,SOA,112,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",59659,7.9
541,His Girl Friday,1940,A,92,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,49661,7.9
542,Stagecoach,1939,G,96,"Adventure, Drama, Western",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,39470,7.9
543,Bringing Up Baby,1938,G,102,"Comedy, Family, Romance","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",51976,7.9
544,The Adventures of Robin Hood,1938,G,102,"Action, Adventure, Romance","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",44758,7.9
545,A Night at the Opera,1935,G,96,"Comedy, Music, Musical",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,29080,7.9
546,King Kong,1933,A,100,"Adventure, Horror, Sci-Fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,75153,7.9
547,Freaks,1932,PG,64,"Drama, Horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",39434,7.9
548,Nosferatu,1922,PG,94,"Fantasy, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,83028,7.9
549,Forushande,2016,M,124,"Drama, Thriller","While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",43849,7.8
550,Mission: Impossible - Fallout,2018,M,147,"Action, Adventure, Thriller","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",253024,7.8
551,Perfetti sconosciuti,2016,N/A,97,"Action, Adventure, Thriller","Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",48549,7.8
552,Hidden Figures,2016,PG,127,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,178320,7.8
553,Paddington 2,2017,G,103,"Adventure, Comedy, Family","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",49984,7.8
554,Kubo and the Two Strings,2016,PG,101,"Animation, Action, Adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,109247,7.8
555,Manchester by the Sea,2016,MA15+,137,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,222326,7.8
556,Under sandet,2015,MA15+,100,"Drama, History, War","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",29923,7.8
557,Rogue One,2016,M,133,"Action, Adventure, Sci-Fi",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,496475,7.8
558,Captain America: Civil War,2016,M,147,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,610559,7.8
559,The Hateful Eight,2015,R18+,168,"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",465425,7.8
560,Loving Vincent,2017,M,94,"Animation, Biography, Crime","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.",43067,7.8
561,Pride,2014,M,119,"Biography, Comedy, Drama",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,47869,7.8
562,Le passé,2013,M,130,"Drama, Mystery","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",42033,7.8
563,La grande bellezza,2013,MA15+,141,Drama,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",74260,7.8
564,Dabba,2013,PG,104,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,43928,7.8
565,Vicky Donor,2012,M,126,"Comedy, Romance","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",36677,7.8
566,Big Hero 6,2014,PG,102,"Animation, Action, Adventure","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",382851,7.8
567,About Time,2013,M,123,"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",274792,7.8
568,English Vinglish,2012,PG,134,"Comedy, Drama, Family","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",31187,7.8
569,The Broken Circle Breakdown,2012,MA15+,111,"Drama, Music, Romance","Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",37180,7.8
570,The Wind Rises,2013,PG,126,"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",63241,7.8
571,La migliore offerta,2013,M,131,"Crime, Drama, Mystery",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,98881,7.8
572,Bir Zamanlar Anadolu'da,2011,M,157,"Crime, Drama",A group of men set out in search of a dead body in the Anatolian steppes.,36084,7.8
573,Moonrise Kingdom,2012,PG,94,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",298160,7.8
574,How to Train Your Dragon 2,2014,PG,102,"Animation, Action, Adventure","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",286655,7.8
575,The Big Short,2015,M,130,"Biography, Comedy, Drama",In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,322520,7.8
576,Kokuhaku,2010,N/A,106,"Biography, Comedy, Drama",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,32949,7.8
577,Ang-ma-reul bo-at-da,2010,R18+,142,"Action, Crime, Drama",A secret agent exacts revenge on a serial killer through a series of captures and releases.,97726,7.8
578,The Girl with the Dragon Tattoo,2011,MA15+,158,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",395971,7.8
579,Captain Phillips,2013,M,134,"Biography, Drama, Thriller","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",395524,7.8
580,Ajeossi,2010,MA15+,119,"Action, Drama, Thriller",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,56910,7.8
581,The Lego Movie,2014,PG,100,"Animation, Action, Adventure","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",310267,7.8
582,Madeo,2009,MA15+,129,"Crime, Drama, Thriller",A mother desperately searches for the killer who framed her son for a girl's horrific murder.,40229,7.8
583,The Hobbit: The Desolation of Smaug,2013,M,161,"Adventure, Fantasy","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",574776,7.8
584,Das weiße Band - Eine deutsche Kindergeschichte,2009,MA15+,144,"Drama, History, Mystery","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",64167,7.8
585,Män som hatar kvinnor,2009,MA15+,152,"Crime, Drama, Mystery",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,200872,7.8
586,The Fighter,2010,MA15+,116,"Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",322131,7.8
587,Taken,2008,MA15+,90,"Action, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",545516,7.8
588,The Boy in the Striped Pyjamas,2008,M,94,"Drama, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",175949,7.8
589,Once,2007,M,86,"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",106405,7.8
590,The Hobbit: An Unexpected Journey,2012,M,169,"Adventure, Family, Fantasy","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",729116,7.8
591,Auf der anderen Seite,2007,M,122,Drama,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,29287,7.8
592,Toki o kakeru shôjo,2006,PG,98,"Animation, Adventure, Comedy","A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",54682,7.8
593,Atonement,2007,MA15+,123,"Drama, Mystery, Romance","Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",233179,7.8
594,Drive,2011,MA15+,100,"Crime, Drama",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama.,534440,7.8
595,American Gangster,2007,MA15+,157,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",373503,7.8
596,Avatar,2009,M,162,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1068329,7.8
597,Mr. Nobody,2009,R,141,"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",202398,7.8
598,Apocalypto,2006,MA15+,139,"Action, Adventure, Drama","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",275122,7.8
599,Little Miss Sunshine,2006,M,101,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,417290,7.8
600,Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,181699,7.8
601,Hot Fuzz,2007,MA15+,121,"Action, Comedy, Mystery",A skilled London police officer is transferred to a small town with a dark secret.,436288,7.8
602,The Curious Case of Benjamin Button,2008,M,166,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",551823,7.8
603,Veer-Zaara,2004,PG,192,"Drama, Family, Musical","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",46015,7.8
604,Adams æbler,2005,MA15+,94,"Comedy, Crime, Drama",A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,42686,7.8
605,Pride & Prejudice,2005,G,129,"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome his or her own pride and prejudice?",236031,7.8
606,The World's Fastest Indian,2005,PG,127,"Biography, Drama, Sport","The story of New Zealander Burt Munro (Sir Anthony Hopkins), who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",49746,7.8
607,Tokyo Godfathers,2003,M,93,"Animation, Adventure, Comedy","On Christmas Eve, three homeless people living on the streets of Tokyo find a newborn baby among the trash and set out to find its parents.",27439,7.8
608,Serenity,2005,M,119,"Action, Adventure, Sci-Fi",The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,273999,7.8
609,Crash,2004,MA,112,"Crime, Drama, Thriller","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",405259,7.8
610,Walk the Line,2005,M,136,"Biography, Drama, Music","A chronicle of country music legendJohnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongsideElvis Presley,Jerry Lee Lewis, andCarl Perkins.",219833,7.8
611,Ondskan,2003,MA15+,113,Drama,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",34131,7.8
612,The Notebook,2004,PG,123,"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",486941,7.8
613,The Motorcycle Diaries,2004,M,126,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,92803,7.8
614,Lilja 4-ever,2002,MA,109,"Crime, Drama","Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",40502,7.8
615,The Triplets of Belleville,2003,PG,78,"Animation, Comedy, Drama","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",48571,7.8
616,The Count of Monte Cristo,2002,M,131,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",122484,7.8
617,Waking Life,2001,M,101,"Animation, Drama, Fantasy",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,58024,7.8
618,Ocean's Eleven,2001,M,116,"Crime, Thriller",Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,483967,7.8
619,Remember the Titans,2000,PG,113,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,187645,7.8
620,Wo hu cang long,2000,M,120,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,243393,7.8
621,Todo sobre mi madre,1999,M,101,Drama,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",82882,7.8
622,Cast Away,2000,M,143,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,484826,7.8
623,The Boondock Saints,1999,R,108,"Action, Crime, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,219659,7.8
624,The Insider,1999,M,157,"Biography, Drama, Thriller",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes (1968) exposé on Big Tobacco.,152247,7.8
625,October Sky,1999,PG,108,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",77120,7.8
626,Shrek,2001,PG,90,"Animation, Adventure, Comedy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",577267,7.8
627,Abre los ojos,1997,M,117,"Drama, Mystery, Sci-Fi","A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",60637,7.8
628,Titanic,1997,M,194,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",982514,7.8
629,Hana-bi,1997,MA,103,"Crime, Drama, Romance","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",25502,7.8
630,Gattaca,1997,M,106,"Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,266270,7.8
631,The Game,1997,M,129,"Drama, Mystery, Thriller","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",322533,7.8
632,Ed Wood,1994,M,127,"Biography, Comedy, Drama","Ambitious but troubled movie directorEdward D. Wood Jr.tries his best to fulfill his dreams, despite his lack of talent.",159519,7.8
633,What's Eating Gilbert Grape,1993,PG,118,Drama,"After his father's death, Gilbert has to care for his mentally-disabled brother, Arnie, and his morbidly obese mother. This situation is suddenly challenged though, when love unexpectedly walks into his life.",201645,7.8
634,Tombstone,1993,M,130,"Action, Biography, Drama","A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",117978,7.8
635,The Sandlot Kids,1993,PG,101,"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",73440,7.8
636,The Remains of the Day,1993,G,134,"Drama, Romance",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,59795,7.8
637,Naked,1993,R,132,"Comedy, Drama","Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",31243,7.8
638,The Fugitive,1993,M,130,"Action, Crime, Drama","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",250712,7.8
639,A Bronx Tale,1993,M,121,"Crime, Drama, Romance",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,119552,7.8
640,Batman: Mask of the Phantasm,1993,PG,76,"Animation, Action, Adventure",Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,39700,7.8
641,Lat sau san taam,1992,R,128,"Action, Crime, Thriller",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,44393,7.8
642,Porco Rosso,1992,PG,94,"Animation, Adventure, Comedy","In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",63767,7.8
643,Night on Earth,1991,M,129,"Comedy, Drama",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,51473,7.8
644,La double vie de Véronique,1991,M,98,"Drama, Fantasy, Music","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",37753,7.8
645,Misery,1990,M,107,"Drama, Thriller","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",169952,7.8
646,Miller's Crossing,1990,M,115,"Crime, Drama, Thriller","Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",120140,7.8
647,Awakenings,1990,M,121,"Biography, Drama","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",114838,7.8
648,Glory,1989,M,122,"Biography, Drama, History","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",114912,7.8
649,Dip huet seung hung,1989,R,96,"Action, Crime, Drama","A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded, only to be double-crossed by his boss.",43803,7.8
